slang,normalisasi
ngotakkk,ngotak
ngrubah2,ngerubah-rubah
ngrugiin,ngerugiin
ngsh,ngasih
ngulur2,ngulur-ngulur
nhe,nge
ni,nih
nicee,nice
nie,nih
nihh,nih
nmr,nomor
nnti,nanti
nolllll,nol
nomr,nomor
normal2,normal-normal
notif2,notif-notif
notif2nya,notif-notifnya
notip,notif
ntap,mantap
ntaps,mantap
ntapsss,mantap
nth,ntah
nti,nanti
nua,nya
nunggi,nunggu
nunggu2,nunggu-nunggu
nunghu,nunggu
nungu,nunggu
ny,nya
nyaa,nya
nyaaa,nya
nyaaaa,nya
nyaaaaaa,nya
nyamann,nyaman
nyampek,nyampai
nyampeknya,sampainya
nyantol2,nyantol-nyantol
nyari2,nyari-nyari
nyaro,nyari
nyasarr,nyasar
nyekelk,nyekek
nympe,nyampe
nympek,sampai
oerbaiki,perbaiki
ojekk,ojek
ojk,ojek
ojl,ojol
ok,oke
okay,oke
oke2,oke-oke
okee,oke
okeee,oke
okeeeee,oke
okeehh,oke
okeeyy,oke
okeh,oke
okehh,oke
okey,oke
okk,oke
okkk,oke
okok,oke-oke
okt,oktober
oleeh,oleh
ongkisnya,ongkirnya
ongkod,ongkod
ongkosndriver,ongkos driver
ongskus,ongkos
op,operator
orang2,orang-orang
ordr,order
ordran,orderan
orfer,order
org,orang
orng,orang
padah,padahal
padahall,padahal
padahan,padahal
padahl,padahal
padal,padahal
padhal,padahal
pagi2,pagi-pagi
pake,pakai
pakek,pakai
paketttt,paket
pakk,pak
palagi,apalagi
paraaaaah,parah
paraaaah,parah
paraaaahhh,parah
paraah,parah
parahh,parah
parahhh,parah
parahhhh,parah
parahhhhh,parah
param,para
parrah,parah
paru2,paru-paru
pastiny,pastinya
paya,payah
payaaaaah,payah
payahh,payah
payahhh,payah
payletr,paylater
pd,pada
pda,pada
pdahal,padahal
pdhal,padahal
pdhl,padahal
pecus,becus
peesen,pesan
peeut,perut
pegawe,pegawai
pelanyan,pelayanan
pelayaaanaaaannn,pelayanan
pelayaanaan,pelayanan
pelayananya,pelayanannya
pembayaaran,pembayaran
pemberihatuan,pemberitahuan
pembyrann,pembayaran
pencey,pencet
pendapatn,pendapatan
penerina,penerima
pengantarkuh,pengantar aku
pengataran,pengantaran
penjmptn,penjemputan
penting2,penting-penting
peofesional,profesional
perbaik2,perbaiki-perbaiki
pergi2,pergi-pergi
perihal2,perihal-perihal
perjalan,perjalanan
perjlnan,perjalanan
perlahan2,perlahan-lahan
perna,pernah
pernsh,pernah
perusaanku,perasaanku
perusahan,perusahaan
pesannan,pesanan
pesean,pesan
pesem,pesen
pesenam,pesenan
pesenan,pesanan
peyalayanan,pelayanan
pgi,pagi-pagi
pgn,pengin
pickuup,pick up
pidah,pindah
pihaj,pihak
pilih2,pilih-pilih
pindh,pindah
pitur,fitur
pk,pak
pkai,pakai
pke,pakai
pkek,pakai
pkkoknya,pokoknya
pkonya,pokoknya
playstor,play store
pleaseee,please
plg,paling
pliss,plis
plisss,please
plng,pulang
plosik,plosok
pls,plis
plsssss,please
pluss,plus
plusss,plus
plussss,plus
pmbayaran,pembayaran
pmbeli,pembeli
pndah,pindah
pneluaran,pengeluaran
pngeluaran,pengeluaran
pngn,pengin
pnh,pernah
pnjm,pinjam
pnumpng,penumpang
pny,punya
pnya,punya
pokk,pokoknya
poko,pokok
pokoknyaa,pokoknya
pokoknyaaa,pokoknya
pokoknyaaaa,pokoknya
pokokx,pokoknya
pokokya,pokoknya
pokonya,pokoknya
polll,pol
pollll,pol
pollll ,pol
polllllll,pol
pollllllllll,pol
pondah,pindah
pooll,pol
potonganya,potongannya
prahnya,parahnya
prhatikan,perhatikan
priksain,periksain
prmo,promo
prnh,pernah
promo2,promo-promo
promonya,promonya
promonyaa,promonya
promoo,promo
promooo,promo
prose,proses
psen,pesan
psenan,pesanan
psn,pesan
puass,puas
puasss,puas
puassss,puas
pucer,voucher
pulangg,pulang
puooool,pol
pura2,pura-pura
putar2,putar-putar
q,aku
qriss,qris
rahma,ramah
ramaah,ramah
ramah2,ramah-ramah
ramah2nya,ramah-ramahnya
ramahh,ramah
ramahhh,ramah
rame,ramai
rata2,rata-rata
rating2,rating-rating
ratting,rating
rb,ribu
rban,ribuan
rbu,ribu
recoment,recomend
refound,refund
rekomendet,recommended
rekomet,rekomen
resaign,resign
reseee,rese
resfeck,respek
resfon,respon
resro,resto
resto2,resto-resto
restonnya,resto nya
reting,rating
rezeqi,rezeki
ribet2,ribet-ribet
ribettttt,ribet
ribgan,ringan
ribuk,ribu
ribuuuuuuuu,ribu
riliss,rilis
rintik2,rintik-rintik
rispon,respon
rmh,rumah
rubah2,rubah-rubah
rugiwaktulah,rugi waktu lah
rumaj,rumah
ruwettr,ruwet
saat2,saat-saat
sabgat,sangat
sagar,sangat
sagat,sangat
sagt,sangat
sajaa,saja
sajaaa,saja
sama2,sama-sama
samapai,sampai
samasekali,sama sekali
samgat,sangat
samhat,sangat
samoe,sampai
sampa,sampai
sampahh,sampah
sampahhhhh,sampah
sampai2,sampai-sampai
sampe2,sampai-sampai
sampek,sampai
sampenya,sampainya
sampk,sampai
samppagghh,sampah
sampqi,sampai
samsek,sama sekali
sando,saldo
sanga,sangat
sangaat,sangat
sangaatt,sangat
sangan,sangat
sangar,sangat
sangat2,sangat-sangat
sangatt,sangat
sangdi,sanksi
sanggar,sangat-sangat
sanggat,sangat
sangsii,sanksi
sangt,sangat
sanjung2,sanjung-sanjung
sata,saya
sayaa,saya
sayasekali,saya sekali
sbar,sabar
sbenarnya,sebenarnya
sberapa,seberapa
sbgai,sebagai
sblah,sebelah
sblh,sebelah
sblm,sebelum
sblmnya,sebelumnya
sbnrnya,sebenarnya
sbnyak,sebanyak
scann,scan
sdah,sudah
sdg,sedang
sdgkn,sedangkan
sdh,sudah
sdng,sedang
sdngkan,sedangkan
seakan2,seakan-akan
sebaliknyaa,sebaliknya
sebeell,sebel
sebesar2nya,sebesar-besarnya
sebluanan,sebulanan
sebrapa,seberapa
sedihh,sedih
seepp,sip
sehari2,sehari-hari
sehat2,sehat-sehat
sehri,sehari
sejamm,sejam
sekalii,sekali
sekaliii,sekali
sekaliiiii,sekali
sekalu,sekali
sekaranggg,sekarang
sekaranh,sekarang
sekem,scam
seklai,sekali
seklaii,sekali
sekli,sekali
sekrang,sekarang
sekrg,sekarang
sekrmg,sekarang
selali,sekali
selallu,selalu
selma,selama
semakiiin,semakin
semamkin,semakin
semanggat,semangat
semena2,semena-mena
semgat,semangat
semngat,semangat
sempit2,sempit-sempit
semuaa,semua
semuaaa,semua
semuany,semuanya
senag,senang
senagnyahhhh,senangnya
sendri,sendiri
senenggg,senang
seperi,seperti
sepertii,seperti
sepiha,sepihak
sepiiii,sepi
seprti,seperti
sepuluh2,sepuluh-sepuluh
serind,sering
sering2,sering-sering
sering2lah,sering-sering lah
seruuu,seru
servc,servis
serverny,servernya
servikasi,verifikasi
set3,setengah 3
sewaktu2,sewaktu-waktu
sgat,sangat
sgera,segera
sgt,sangat
sgt2,sangat-sangat
sgtu,segitu
shg,sehingga
shingga,sehingga
shopi,shopee
sia2,sia-sia
sialann,sialan
siang2,siang-siang
siangn,siangan
sihh,sih
sihhh,sih
siihh,sih
siiiip,sip
siiip,sip
siiippp,sip
siiipppp,sip
siip,sip
siipp,sip
simpell,simpel
sipp,sip
sippp,sip
sipppppppp,sip
sisitem,sistem
sistemnta,sistemnya
sitem,sistem
sj,saja
sjauh,sejauh
sjnyal,sinyal
sk,suka
skali,sekalinya
skalinya,sekalinya
skarang,sekarang
skg,sekarang
skian,sekian
skitar,sekitar
sklh,sekolah
skli,sekali
skolah,sekolah
skr,sekarang
skrang,sekarang
skrg,sekarang
skrg2,sekarang-sekarang
skrng,sekarang
skrnggg,sekarang
slalu,selalu
slaluuu,selalu
slama,selama
sll,selalu
sllu,selalu
slma,selama
slmat,selamat
slu,selalu
sm,sama
sm2,sama-sama
sma,sama
smaa,sama
smakin,semakin
smangat,semangat
smanya,samanya
smg,semarang
smga,semoga
smlm,semalam
smoga,semoga
smp,sampai
smpai,sampai
smpe,sampai
smpet,sempet
smua,semua
smuanya,semuanya
smw,semua
snagat,sangat
sndiri,sendiri
sndr,sendiri
sndri,sendiri
sngat,sangat
sngat2,sangat-sangat
sngt,sangat
soalny,soalnya
sodara,saudara
sombong2,sombong-sombong
sopan2,sopan-sopan
sope,shopee
sopir,supir
sp,siapa
spam2,spam-spam
sperti,seperti
spk,apk
sprti,seperti
sprtnya,sepertinya
spt,sepertinya
srg,sering
srlama,selama
sruh,suruh
ssiipp,sip
st,stasiun
stelah,setelah
stengah,setengah
stiap,setiap
stlh,setelah
stngah,setengah
stngahnya,setengahnya
stressss,stres
stresssss,stres
stu,satu
subuh2,subuh-subuh
succes,sukses
suda,sudah
sudahmah,sudah mah
sudh,sudah
sukaa,suka
sukaaaaa,suka
sukak,suka
sukakk,suka
sukse,sukses
sumpaaaah,sumpah
sungguh2,sungguh-sungguh
sunggung,sungguh
supir2,supir-supir
susaaah,susah
susaah,susah
susaahhh,susah
susahh,susah
suuuiiippp,sip
swlalu,selalu
swmoga,semoga
sy,saya
sya,saya
syaa,saya
syg,sayang
system,sistem
syuka,suka
t4,tempat
taggal2,tanggal-tanggal
tahu2,tahu-tahu
takutt,takut
tampa,tanpa
tanda2,tanda-tanda
tanta,tanya
taon,tahun
tarekkkkkkk,tarik
taril,tarif
taripnya,tarifnya
tau2,tau-tau
taun2an,tahun-tahunan
tb,tiba
tb2,tiba-tiba
tba2,tiba-tiba
tbtb,tiba-tiba
td,tadi
tdi,tadi
tdk,tidak
telatt,telat
telattt,telat
telepomin,teleponin
telp,telepon
telpn,telepon
telpon,telepon
telpon2,telepon-telepon
teman2,teman-teman
tempat2,tempat-tempat
tenkyu,makasih
tepay,tepat
teransaksi,transaksi
terbaaaaaiiiiik,terbaik
terbaikk,terbaik
terbantuh,terbantu
terditeksi,terdeteksi
terimakasi,terimakasih
terimakasihh,terimakasih
terimkshi,terimakasih
terkhir,terakhir
teros,terus
tertent,tertentu
terus2an,terus-terusan
terusmah,terus mah
teruss,terus
terusss,terus
teruusss,terus
teryata,ternyata
terys,terus
testo,resto
tetbaik,terbaik
tgg,tunggu
tggu,tunggu
tgl,tanggal
tgs,tugas
tgu,tunggu
thankss,thanks
thn,tahun
thq,thanks
thx,thanks
tiba2,tiba-tiba
tibet,ribet
tida,tidak
tidaa,tidak
tidka,tidak
tipu2,tipu-tipu
tks,terimakasih
tksh,terimakasih
tkt,takut
tlf,telepon
tlg,tolong
tlng,tolong
tlong,tolong
tlp,telepon
tlpnnya,teleponnya
tlpon,telepon
tlpun,telepon
tmbahin,tambahin
tmbh,tambah
tmn,teman
tmn2,teman-teman
tmpat,tempat
tmpt,tempat
tnggal,tinggal
tnggu,tunggu
tngh,tengah
tnp,tanpa
tntg,tentang
toling,tolong
toll,tol
tololll,tolol
tolooooonggggg,tolong
toooopppppp,top
toop,top
toped,tokped
topks,tops
topp,top
topppp,top
tp,tapi
tpi,tapi
tpln,telepon
tpu2,tipu-tipu
tq,terimakasih
transfort,transport
transfortasi,transportasi
transortasi,transportasi
transpor,transportasi
trbantu,terbantu
trima,terima
trimakasi,terimakasih
trimakasih,terimakasih
trimkasi,terima kasih
trimkasih,terima kasih
trimksih,terimakasih
trims,terima kasih
trkadang,terkadang
trkait,terkait
trll,terlalu
trllu,terlalu
trlnjr,terlanjur
trm,terima
trma,terima
trmks,terimakasih
trmksh,terimakasih
trms,terimakasih
trmsk,termasuk
trnyata,ternyata
trnyta,ternyata
troma,trauma
tros,terus
trs,terus
trus,terus
trus2an,terus-terusan
truss,terus
trz,terus
tsb,tersebut
ttep,tetap
ttg,tentang
ttp,tetap
ttup,tutup
tudak,tidak
tuhannnn,tuhan
tuhhh,tuh
tuhhhh,tuh
tunggu2,tunggu-tunggu
tyus,terus
ud,udah
uda,udah
udh,udah
udj,udah
ugal2an,ugal-ugalan
ujan,hujan
ujan2,ujan-ujan
ujg2nya,ujung-ujungnya
ujuang2nya,ujung-ujungnya
ujung2,ujung-ujung
ujung2nya,ujung-ujungnya
ulur2,ulur-ulur
uninstal,uninstall
unisntal,uninstall
unninstal,uninstall
unstal,uninstall
unt,untuk
untk,untuk
ununstall,uninstall
upadte,update
updet,update
urusa,urusan
ush,usah
utk,untuk
veri,very
verif,verifikasi
veritif,verifikasi
vermuk,verifikasi muka
vermuknya,verifikasi mukanya
vermuxnya,verifikasi mukanya
vertipikasinya,verifikasinya
vocer,voucher
vocernya,vouchernya
vocher,voucher
voucer,voucher
wahh,wah
wakty,waktu
walopun,walaupun
wanggi,wangi
was2,was-was
whtasapnya,whatsapp nya
wjrlah,wajarlah
wkt,waktu
wktu,waktu
wkwkkk,wkwkwk
wlaupun,walaupun
woke,oke
wokeeeee,woke
woyyy,woy
woyyyyyy,woy
wqktu,waktu
x,kali
y,nya
yaa,ya
yaaa,ya
yaaaa,ya
yaaaaaw,yaw
yakk,ya
yamg,yang
yanb,yang
yangbl,yang
yangg,yang
yanh,yang
yaudahhhh,yaudah
yeeeeedriver,ye driver
yg,yang
yh,yah
yng,yang
youuu,you
yusahin,nyusahin
zonkkk,zonk
